Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,UST_ID,MFPN
1,,C-Device-ISM02A-rescue,C8,1p8,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5dad52a4128750448eca18e8,"C0G 0,1pF 50V"
2,,C-Device-ISM02A-rescue,C16,2p2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5c70984812875079b91f8bdd,"C0G 0,1pF 50V"
3,,C-Device-ISM02A-rescue,C10,2p4,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5dad53d8128750448eca1906,"C0G 0,1pF 50V"
4,,C-Device-ISM02A-rescue,C13 C19 C20 C22 C23,3p3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,5, ,~,5cd09016128750448e45434f,"C0G 0,1pF 50V"
5,,C-Device-ISM02A-rescue,C14,5p6,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5dad5450128750448eca1919,"C0G 0,25pF 50V"
6,,C-Device-ISM02A-rescue,C15 C17 C18,39pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,3, ,~,5dad549f128750448eca1926,C0G 5% 50V
7,,C-Device-ISM02A-rescue,C9,47pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5dad5314128750448eca18f7,C0G 5% 50V
8,,C-Device-ISM02A-rescue,C7,47nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5dad51cf128750448eca18d8,X7R 1% 16V
9,,C_Small-Device-ISM02A-rescue,C2,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,,C0805_100n 5c70984812875079b91f8bf2,
10,,C-Device-ISM02A-rescue,C6,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5c70984812875079b91f8bf2,
11,,C-Device-ISM02A-rescue,C4,470nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5dad50c1128750448eca18c6,X5R 10% 10V
12,,C-Device-ISM02A-rescue,C5,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,1, ,~,5c70984812875079b91f8bc2,
13,,C_Small-Device-ISM02A-rescue,C21 C24 C25,10uF,SMD-0805,3, ,,5c70984812875079b91f8bbe,
14,,C-Device-ISM02A-rescue,C1 C3 C11 C12,-,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,4, ,~,,
15,,D_ZENER-MLAB_D,D1,"BZV55C-5,6V",Diode-MiniMELF_Standard,1, ,,5c70984512875079b91f88b2,
16,,RF_Shield_Two_Pieces-device,J16,BMI-S-204-F ,BMI-S-204-F,1, ,,,
17,,HEADER_2x01_PARALLEL-MLAB_HEADER,J3 J4 J5 J6 J7 J8 J9 J10 J11,HEADER_2x01_PARALLEL,Straight_2x01,9, ,,,
18,,JUMP_3X2-MLAB_Jumpers,J1,JUMP_3X2,Straight_2x03,1, ,,,
19,,SM07B-GHS-TB-MLAB_CONNECTORS_JST-ISM02A-rescue,J2,SM07B-GHS-TB,JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal,1, ,,5c7250081287500b4e112e78,
20,,SMA-MLAB_CONNECTORS,J12 J14,SMA,SMA6251A13G50,2, ,,5c70984412875079b91f87ac,
21,,SMA-MLAB_CONNECTORS,J13 J15,U.FL,U.FL_Hirose_U.FL-R-SMT-1_Vertical,2, ,,,
22,,L-Device-ISM02A-rescue,L3,0R,L_0402_1005Metric,1, ,~,5c70984512875079b91f8949,
23,,L-Device-ISM02A-rescue,L5,2n5,L_0402_1005Metric,1, ,~,5dad56ff128750448eca1975,LQW15AN2N5C00D
24,,L-Device-ISM02A-rescue,L6,4n7,L_0402_1005Metric,1, ,~,5dad574f128750448eca1986,LQW15AN4N7C00D
25,,L-Device-ISM02A-rescue,L7 L8,9n1,L_0402_1005Metric,2, ,~,5dad5789128750448eca1995,LQW15AN9N1H00D
26,,L-Device-ISM02A-rescue,L2,15nH,L_0402_1005Metric,1, ,~,5dad566c128750448eca1959,LQW15AN15NH00D
27,,L-Device-ISM02A-rescue,L4,47nH,L_0402_1005Metric,1, ,~,5dad56ba128750448eca1968,LQW15AN47NJ00D
28,,L_Small-Device-ISM02A-rescue,L1,15uH,SMD-0805,1, ,~,5dad55e8128750448eca1941,MLZ2012M150W 0805
29,,HOLE-MLAB_MECHANICAL,M1 M2 M3 M4,HOLE,MountingHole_3mm,4, ,,,
30,,R-Device-ISM02A-rescue,R1,10k,SMD-0805,1, ,~,5c70984612875079b91f899f,
31,,MIC5504-3.3YM5-Regulator_Linear-ISM02A-rescue,U2,MIC5504-3.3YM5,SOT-23-5,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2,
32,,SX1262-MLAB_IO-ISM02A-rescue,U1,SX1262,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,1, ,,5dad5866128750448eca19a4,
33,,Crystal_GND24-Device-ISM02A-rescue,Y1,32MHz,Crystal_SMD_NX2016SA,1, ,~,5dad592b128750448eca19b2,NX2016SA-32M-EXS00A-CS06465





Project info:
Schematic:,ISM02A
Variant:,default
Revision:,
Date:,2023-02-03
KiCad Version:,6.0.10+dfsg-1~bpo11+1
Statistics:
Component Groups:,33
Component Count:,58
Fitted Components:,58
Number of PCBs:,1
Total Components:,58
