Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","JUMP_3X2","Straight_2x03",147.8280,-104.1400,90.0000,top
"J2","HEADER_2x01_PARALLEL","Straight_2x01",139.1920,-118.8720,0.0000,top
"J3","HEADER_2x01_PARALLEL","Straight_2x01",163.5960,-104.1400,90.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",172.2020,-104.1400,90.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",167.1020,-104.1400,90.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",169.6520,-104.1400,90.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",174.7520,-104.1400,90.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",158.4960,-104.1400,90.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",155.9460,-104.1400,90.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",153.3960,-104.1400,90.0000,top
"J11","HEADER_2x01_PARALLEL","Straight_2x01",161.0460,-104.1400,90.0000,top
"J12","MCX","MCX",179.3748,-114.3000,90.0000,top
"J13","HEADER_2x01_PARALLEL","Straight_2x01",139.1920,-116.3320,0.0000,top
"J15","HEADER_2x01_PARALLEL","Straight_2x01",139.1920,-113.7920,0.0000,top
"M1","HOLE","MountingHole_3mm",180.3400,-104.1400,0.0000,top
"M2","HOLE","MountingHole_3mm",139.7000,-104.1400,0.0000,top
"M3","HOLE","MountingHole_3mm",180.3400,-124.4600,0.0000,top
"M4","HOLE","MountingHole_3mm",139.7000,-124.4600,0.0000,top
